date,value
2020-10-19,72.2
2020-10-20,76.65
2020-10-21,89.7
2020-10-22,95.55
2020-10-23,104.83
2020-10-24,118.92
2020-10-25,117.20
2020-10-26,141.3
2020-10-27,153.6
2020-10-28,158.4
2020-10-29,175
2020-10-30,191
2020-11-01,206
2020-11-02,184
2020-11-03,190.74
2020-11-04,200.38
2020-11-05,195.56
2020-11-06,203.1
2020-11-07,218.1
2020-11-09,208.6
2020-11-10,252.62
2020-11-11,272.9
2020-11-12,285.9
2020-11-13,270.8
2020-11-14,264.31
2020-11-15,289.05
2020-11-16,289.4
2020-11-17,252.62
2020-11-18,259.84
2020-11-19,255.03
2020-11-20,251.93
2020-11-21,250.21
2020-11-23,263.6
2020-11-24,265.68
2020-11-25,238.53
2020-11-26,239.22
2020-11-28,237
2020-11-30,202
2020-12-01,182
2020-12-02,167.73
2020-12-03,152.26
2020-12-04,136.8
2020-12-05,127.17
2020-12-06,113.08
2020-12-07,114.4
2020-12-08,121.33
2020-12-09,125.11
2020-12-10,133.70
2020-12-11,147.10
2020-12-13,150.89
2020-12-14,153.0
2020-12-15,150.54
2020-12-16,149.17
2020-12-17,140.57
2020-12-18,145.4
2020-12-19,150.2
2020-12-20,155.0
2020-12-22,153.29
2020-12-23,151.23
2020-12-24,143.32
2020-12-25,123.32
2020-12-26,110.67
2020-12-27,94.5
2020-12-28,94.52
2020-12-29,97.61
2020-12-30,96.58
2020-12-31,101.05
2021-01-01,99.7
2021-01-02,94.9
2021-01-03,92.8
2021-01-04,89.3
2021-01-05,82.8
2021-01-06,94.17
2021-01-07,95.89
2021-01-08,109
2021-01-10,140.23
2021-01-11,141.6
2021-01-12,138.17
2021-01-13,123.39
2021-01-14,114.11
2021-01-15,106.54
2021-01-16,93.5
2021-01-17,95.2
2021-01-18,94.52
2021-01-19,89.02
2021-01-20,90.05
2021-01-21,90.74
2021-01-22,87.64
2021-01-23,83.6
2021-01-24,75.0
2021-01-26,79.05
2021-01-27,75.0
2021-01-28,70.46
2021-01-29,78.0
2021-01-30,81.8
2021-01-31,85.6
2021-02-01,87.0
2021-02-02,81.46
2021-02-03,79.05
2021-02-04,79.4
2021-02-05,77.0
2021-02-07,73.0
2021-02-08,71.0
2021-02-09,66.33
2021-02-10,60.84
2021-02-11,59.46
2021-02-12,49.15
2021-02-13,41.93
2021-02-14,42.62
2021-02-15,41.24
2021-02-16,43.99
2021-02-17,47.43
2021-02-18,48.80
2021-02-19,49.50
2021-02-20,51.2
2021-02-21,47.1
2021-02-22,49.49
2021-02-23,52.9
2021-02-24,49.8
2021-02-25,48.81
2021-02-26,52.28
2021-02-27,54.99
2021-02-28,56.36
2021-03-01,53.96
2021-03-02,50.50
2021-03-03,61.20
2021-03-04,65.6
2021-03-05,61.9
2021-03-06,60.84
2021-03-07,61.87
2021-03-08,63.24
2021-03-09,65.64
2021-03-10,59.80
2021-03-11,57.74
2021-03-12,58.40
2021-03-13,57.10
2021-03-14,61.20
2021-03-15,60.10
2021-03-16,65.30
2021-03-18,62.50
2021-03-19,65.90
2021-03-20,70.50
2021-03-21,70.10
2021-03-22,71.15
2021-03-23,70.5
2021-03-24,82.14
2021-03-25,89.7
2021-03-26,96.2
2021-03-27,99.0
2021-03-28,97.3
2021-03-29,95.21
2021-03-30,109.6
2021-03-31,103.50
2021-04-01,105.86
2021-04-02,104.50
2021-04-03,98.64
2021-04-04,105.17
2021-04-05,111.027
2021-04-06,86.3
2021-04-07,90.74
2021-04-08,103.10
2021-04-09,112.40
2021-04-10,122.36
2021-04-11,114.11
2021-04-12,112.05
2021-04-13,143.7
2021-04-14,145.39
2021-04-15,132.0
2021-04-16,122.70
2021-04-17,128.50
2021-04-18,132.30
2021-04-19,134.73
2021-04-20,122.36
2021-04-21,143.7
2021-04-22,160.90
2021-04-23,179.75
2021-04-24,175.60
2021-04-25,177.40
2021-04-26,183.54
2021-04-27,197.62
2021-04-28,184.2
2021-04-29,170.5
